
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
699	7.38	0.1725 8.2 0.0000 0.1000 0.7000	0.1725 8.2 0.0000 0.1000 0.7000
749	7.83	0.1721 8.2 0.0000 0.1000 0.6000	0.1721 8.2 0.0000 0.1000 0.6000
799	8.29	0.1711 8.5 0.0000 0.1000 0.6000	0.1711 8.5 0.0000 0.1000 0.6000
849	8.79	0.1655 8.7 0.0000 0.1000 0.6000	0.1655 8.7 0.0000 0.1000 0.6000
899	9.24	0.1657 8.7 0.0000 0.1000 0.6000	0.1657 8.7 0.0000 0.1000 0.6000
949	9.71	0.1748 8.5 0.0000 0.2000 0.6000	0.1748 8.5 0.0000 0.2000 0.6000
999	10.16	0.1964 8.1 0.0000 0.2000 0.6000	0.1964 8.1 0.0000 0.2000 0.6000
best_performance: 999	10.16	0.1964 8.1 0.0000 0.2000 0.6000	0.1964 8.1 0.0000 0.2000 0.6000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.69	0.1631 7.8 0.0000 0.0000 0.7000	0.1631 7.8 0.0000 0.0000 0.7000
99	2.08	0.1658 7.8 0.0000 0.0000 0.7000	0.1658 7.8 0.0000 0.0000 0.7000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.64	0.1993 7.4 0.0000 0.2000 0.8000	0.1993 7.4 0.0000 0.2000 0.8000
99	2.02	0.1939 7.2 0.0000 0.1000 0.8000	0.1939 7.2 0.0000 0.1000 0.8000

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.65	0.1571 9.9 0.0000 0.2000 0.4000	0.1571 9.9 0.0000 0.2000 0.4000
99	2.06	0.1467 10.3 0.0000 0.1000 0.3000	0.1467 10.3 0.0000 0.1000 0.3000
149	2.44	0.1467 10.3 0.0000 0.1000 0.3000	0.1467 10.3 0.0000 0.1000 0.3000
199	2.82	0.1469 10.3 0.0000 0.1000 0.4000	0.1469 10.3 0.0000 0.1000 0.4000
249	3.20	0.1412 10.5 0.0000 0.1000 0.4000	0.1412 10.5 0.0000 0.1000 0.4000
299	3.58	0.1410 10.5 0.0000 0.1000 0.4000	0.1410 10.5 0.0000 0.1000 0.4000
349	4.00	0.1377 10.6 0.0000 0.1000 0.4000	0.1377 10.6 0.0000 0.1000 0.4000
399	4.46	0.1394 10.5 0.0000 0.1000 0.4000	0.1394 10.5 0.0000 0.1000 0.4000
449	4.90	0.1419 10.3 0.0000 0.1000 0.4000	0.1419 10.3 0.0000 0.1000 0.4000
499	5.35	0.1456 10.2 0.0000 0.1000 0.4000	0.1456 10.2 0.0000 0.1000 0.4000
549	5.80	0.1442 10.3 0.0000 0.1000 0.4000	0.1442 10.3 0.0000 0.1000 0.4000
599	6.25	0.1431 10.4 0.0000 0.1000 0.4000	0.1431 10.4 0.0000 0.1000 0.4000
649	6.72	0.1485 10.5 0.0000 0.2000 0.3000	0.1485 10.5 0.0000 0.2000 0.3000
699	7.24	0.1319 10.6 0.0000 0.2000 0.3000	0.1319 10.6 0.0000 0.2000 0.3000
749	7.70	0.1319 10.6 0.0000 0.2000 0.3000	0.1319 10.6 0.0000 0.2000 0.3000
799	8.17	0.1312 10.7 0.0000 0.2000 0.3000	0.1312 10.7 0.0000 0.2000 0.3000
849	8.62	0.1214 10.6 0.0000 0.1000 0.4000	0.1214 10.6 0.0000 0.1000 0.4000
